text,language
Niko na bahati mbaya siku hizi maze,Sheng
An gi hera matek ni kawuono sana,Luo
Ile dem ni poa sana alikuwa hapa,Sheng
Asante kwa msaada wako mzuri,Swahili
Akwayo kony maber ahinya bende,Luo
Ere un madhi kod jomoko?,Luo
Nilipata kazi mpya wiki iliyopita,Sheng
Please call me when you arrive safely,English
Ninaenda sokoni kununua mboga,Swahili
Manze sijui kama nitafika on time,Sheng
Wuod loka nyalo somo maber ahinya,Luo
Baba alisema tuende kanisani pamoja,Swahili
Maze nimechoka kufuatilia mambo haya,Sheng
Chakula hiki kina ladha nzuri sana,Swahili
Hapo poa acha niende saa hii,Sheng
Alikimbia bila kusema lolote maze,Sheng
Adhi e ot mara kawuono gi saa,Luo
Si ufanye haraka tufike on time poa,Sheng
He fixed the problem in under an hour,English
Manze ulifanya nini jana usiku?,Sheng
Can you help me with this problem?,English
The train arrives at the station at noon,English
Mara ne omiya gowo maber ahinya,Luo
Chamo chiemo maber en gima ber,Luo
The project deadline is next Monday morning,English
Yeye ni mtoto mzuri na mpole,Swahili
Wuod Gem nyalo somo maber ahinya,Luo
Bende adhi kar tich kawuono sawa,Luo
Buda wangu alisema niko na uhuru,Sheng
Ok awinjo maber kata mana nene,Luo
Dawa hii inasaidia sana mgonjwa,Swahili
Hata mimi siko sure juu ya hilo,Sheng
Ndege imefika uwanja wa ndege,Swahili
Mwalimu alifundisha vizuri leo,Swahili
Nilimwona mblo pale Westie jana,Sheng
The match was very exciting and close,English
Mvua inanyesha sana leo usiku,Swahili
The library closes at eight in the evening,English
Ninaomba ruhusa ya kwenda nyumbani,Swahili
Serikali inajenga barabara mpya,Swahili
The price of everything has gone up,English
I need to submit my assignment tomorrow,English
Wuoch maber miyo ng'ato piny ler,Luo
Naomba ufafanuzi kuhusu tatizo hili,Swahili
The weather is really nice this morning,English
Mvua ilileta mafuriko makubwa sana,Swahili
In nang'a ema to onego iwuoyi,Luo
In ber ahinya kata mana jaber,Luo
I like to exercise in the early morning,English
Ok adwaro dhi kanyo kinyi,Luo
Maze mbona ulikimbia hivyo ghafla?,Sheng
I need to study harder for my finals,English
Adhi laro simu mara kawuono pile,Luo
How are you doing today?,English
Nyithindo nyalo neno maber ahinya,Luo
Bende en gima ber ni kawuono pile,Luo
The children are playing in the garden,English
I love reading books on weekends,English
Maze hii jua inaumiza sana leo,Sheng
Mbwa wangu amepotea jana usiku,Swahili
Yawuok piny kawuono uduto,Luo
Mkutano wa timu utafanyika saa nne,Swahili
Mtoto wangu anasoma shule,Swahili
Si umesikia ile drama ya jana?,Sheng
Ile beat ya msee huyo ni fire kabisa,Sheng
Jua kali sana leo asubuhi mapema,Swahili
Siwezi kuja kesho kwa sababu ya kazi,Swahili
Wuok kawuono kata mana otieno,Luo
Ninapenda kuimba nyimbo za dini,Swahili
Bana nikiambia ukweli si mchezo,Sheng
I went to the doctor for a checkup,English
The traffic in Nairobi is terrible daily,English
Wang'o nyinge mar jowadwa duto,Luo
Si tufanye hivi tuone inakuwa aje,Sheng
The restaurant serves excellent local food,English
Tich matek miyo ng'ato ng'eyo maber,Luo
Please send me the report by Friday,English
Technology is changing the world rapidly,English
Sehemu hii ya mji ni salama sana,Swahili
Joduong joma ber nyalo kony ahinya,Luo
Ngoja nikupigie baadaye poa sawa,Sheng
Si unipigie simu ukifika poa,Sheng
Panya alimla mkate wangu wote,Swahili
Please remind me to pay the rent tomorrow,English
I am going to the supermarket now,English
I need to fix my car before the trip,English
He bought a new house in the suburbs,English
Mazingira ya Kenya ni mazuri sana,Swahili
Ninafurahi kukutana nawe tena,Swahili
Serikali imetangaza likizo ya taifa,Swahili
Umenikasirishia sana leo bana maze,Sheng
The bus is always late in the mornings,English
Ninapenda kusafiri nchi za Afrika,Swahili
Maze hali ya hewa ni mbaya sana,Sheng
Mto Nile unapita katika nchi nyingi,Swahili
Watu wengi walihudhuria sherehe,Swahili
Hii ngoma ni jamming sana bana,Sheng
I am looking for a good mechanic today,English
Wuoyi ni en ng'ama ber ahinya,Luo
Mwaka mpya umeanza vizuri sana,Swahili
Adhi kar chamo chiemo sani,Luo
Wanafunzi walisherehekea ushindi wao,Swahili
Nilikula ugali na sukuma wiki,Swahili
Ule mchoro anajua kazi yake sawasawa,Sheng
Wuodi nyalo medo kony jomoko pile,Luo
An gi tich matek kawuono,Luo
The exam results were released yesterday,English
Barua pepe imetumwa kwa timu yote,Swahili
Nilikuwa nikivizia ndio uone bana,Sheng
He was promoted to manager last week,English
The supermarket is closed on Sundays here,English
Adhi e hospital kawuono gi saa,Luo
We need to leave early to avoid traffic,English
Nyithindo achiel nyalo dhi e skul,Luo
Wuod Alego en ng'ama ber sana,Luo
I am learning to code in Python language,English
The company hired twenty new employees,English
Wuoyi nyalo dhi e tich kawuono,Luo
Hiyo ni ukweli kabisa bana si uongo,Sheng
Nilikuwa sijalala vizuri jana usiku,Sheng
Mgonjwa anahitaji dawa za haraka,Swahili
Si unipee number yake maze bana,Sheng
Kesho tunaenda funga kwa Njo poa,Sheng
Si unijoin tutaenda na genge leo,Sheng
She speaks three languages fluently now,English
Awinjo kum matech ahinya kawuono,Luo
Watoto wanaomba chakula nje,Swahili
I just downloaded a new app on my phone,English
